what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1436636296552
locale,sysinfo,,,"en_US",1436636296552
processors,sysinfo,,,"8",1436636296552
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436636296552
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1436636296552
java.specification.name,sysinfo,,,"Java Platform API Specification",1436636296552
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436636296552
java.specification.version,sysinfo,,,"1.8",1436636296552
java.vendor,sysinfo,,,"Oracle Corporation",1436636296552
java.version,sysinfo,,,"1.8.0_45",1436636296552
java.vm.info,sysinfo,,,"mixed mode",1436636296552
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1436636296552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436636296552
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436636296552
java.vm.specification.version,sysinfo,,,"1.8",1436636296552
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436636296552
java.vm.version,sysinfo,,,"25.45-b02",1436636296552
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1436636296748
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1436636296924
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1436636297086
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1436636297232
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1436636297721
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1436636297730
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1436636297762
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1436636297818
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1436636297822
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1436636322414
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1436636322415
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1436636322442
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1436636327525
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1436636327600
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1436636901025
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436636901217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436636902860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637439020
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1436637442788
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1436637443099
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1436637444490
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1436637444501
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1436637444637
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1436637444638
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1436637444743
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1436637444759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637446601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637503509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1436637503540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637504718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637519161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637537116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637538257
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436637538370
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1436637538932
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1436637556150
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1436637556151
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1436637556153
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1436637556154
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1436637556155
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1436637556157
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1436637556158
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1436637556160
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1436637556161
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1436637556162
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1436637556163
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1436637556164
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1436637556165
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1436637556166
